Time,Solar Radiation Intensity (dB),Ambient Temperature (Celsius)
6:00 AM,92,27
6:15 AM,93,27
6:30 AM,95,27
6:45 AM,98,27
7:00 AM,99,27
7:15 AM,100,27
7:30 AM,107,27
7:45 AM,108,27
8:00 AM,110,27
8:15 AM,111,27
8:30 AM,112,27
8:45 AM,113,27
9:00 AM,115,27
9:15 AM,116,27
9:30 AM,119,27
9:45 AM,120,27
10:00 AM,122,27
10:15 AM,124,27
10:30 AM,126,27
10:45 AM,127,26
11:00 AM,133,26
11:15 AM,135,26
11:30 AM,137,26
11:45 AM,126,26
12:00 PM,132,26
12:15 PM,130,26
12:30 PM,142,26
12:45 PM,145,26
1:00 PM,139,26
1:15 PM,129,26
1:30 PM,143,26
1:45 PM,146,27
2:00 PM,138,27
2:15 PM,145,27
2:30 PM,131,27
2:45 PM,127,29
3:00 PM,136,29
3:15 PM,134,29
3:30 PM,128,28
3:45 PM,147,28
4:00 PM,130,29
4:15 PM,125,29
4:30 PM,124,29
4:45 PM,110,30
5:00 PM,105,30
5:15 PM,103,30
5:30 PM,100,31
5:45 PM,95,31
6:00 PM,91,31
